class_name,TP,FP,TN,FN,Accuracy,Precision,Recall,F_measure,Error_rate,Specificity,FNR,FPR
Rose_apple,12.0,2.0,-3.0,3.0,0.6428571428571429,0.8571428571428571,0.8,0.8275862068965518,0.35714285714285715,3.0,-2.0,0.2
Betel,4.0,2.0,-7.0,7.0,-0.5,0.6666666666666666,0.36363636363636365,0.4705882352941177,1.5,1.4,-0.4,0.6363636363636364
Jackfruit,8.0,0.0,-3.0,3.0,0.625,1.0,0.7272727272727273,0.8421052631578948,0.375,1.0,-0.0,0.2727272727272727
Beech,5.0,1.0,-8.0,8.0,-0.5,0.8333333333333334,0.38461538461538464,0.5263157894736842,1.5,1.1428571428571428,-0.14285714285714285,0.6153846153846154
Pomegranate,9.0,15.0,-1.0,1.0,0.3333333333333333,0.375,0.9,0.5294117647058825,0.6666666666666666,-0.07142857142857142,1.0714285714285714,0.1
Oleander,5.0,1.0,-2.0,2.0,0.5,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.5,2.0,-1.0,0.2857142857142857
Mexican_Mint,6.0,3.0,-4.0,4.0,0.2222222222222222,0.6666666666666666,0.6,0.631578947368421,0.7777777777777778,4.0,-3.0,0.4
Curry,2.0,0.0,-10.0,10.0,-4.0,1.0,0.16666666666666666,0.2857142857142857,5.0,1.0,-0.0,0.8333333333333334
Parijata,5.0,0.0,-1.0,1.0,0.8,1.0,0.8333333333333334,0.9090909090909091,0.2,1.0,-0.0,0.16666666666666666
Jasmine,8.0,17.0,-3.0,3.0,0.2,0.32,0.7272727272727273,0.4444444444444444,0.8,-0.21428571428571427,1.2142857142857142,0.2727272727272727
Basale,2.0,2.0,-4.0,4.0,-0.5,0.5,0.3333333333333333,0.4,1.5,2.0,-1.0,0.6666666666666666
Peepal,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,0.0
Jamun,8.0,0.0,-4.0,4.0,0.5,1.0,0.6666666666666666,0.8,0.5,1.0,-0.0,0.3333333333333333
Neem,3.0,0.0,-6.0,6.0,-1.0,1.0,0.3333333333333333,0.5,2.0,1.0,-0.0,0.6666666666666666
Mint,8.0,4.0,-1.0,1.0,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.761904761904762,0.4166666666666667,-0.3333333333333333,1.3333333333333333,0.1111111111111111
Mango,9.0,3.0,0.0,0.0,0.75,0.75,1.0,0.8571428571428571,0.25,0.0,1.0,0.0
Roxburgh,4.0,6.0,-6.0,6.0,-0.2,0.4,0.4,0.4000000000000001,1.2,-inf,inf,0.6
Jamaica,3.0,2.0,-9.0,9.0,-1.2,0.6,0.25,0.35294117647058826,2.2,1.2857142857142858,-0.2857142857142857,0.75
Dantu,5.0,2.0,-6.0,6.0,-0.14285714285714285,0.7142857142857143,0.45454545454545453,0.5555555555555556,1.1428571428571428,1.5,-0.5,0.5454545454545454
Sandalwood,8.0,8.0,-1.0,1.0,0.4375,0.5,0.8888888888888888,0.64,0.5625,-0.14285714285714285,1.1428571428571428,0.1111111111111111
Tulsi,1.0,3.0,-7.0,7.0,-1.5,0.25,0.125,0.16666666666666666,2.5,1.75,-0.75,0.875
Drumstick,13.0,8.0,-2.0,2.0,0.5238095238095238,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.47619047619047616,-0.3333333333333333,1.3333333333333333,0.13333333333333333
Fenugreek,8.0,1.0,-2.0,2.0,0.6666666666666666,0.8888888888888888,0.8,0.8421052631578948,0.3333333333333333,2.0,-1.0,0.2
Guava,12.0,10.0,0.0,0.0,0.5454545454545454,0.5454545454545454,1.0,0.7058823529411764,0.45454545454545453,0.0,1.0,0.0
Rasna,8.0,3.0,-1.0,1.0,0.6363636363636364,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.36363636363636365,-0.5,1.5,0.1111111111111111
Karanda,6.0,0.0,-7.0,7.0,-0.16666666666666666,1.0,0.46153846153846156,0.631578947368421,1.1666666666666667,1.0,-0.0,0.5384615384615384
Mustard,3.0,0.0,-5.0,5.0,-0.6666666666666666,1.0,0.375,0.5454545454545454,1.6666666666666667,1.0,-0.0,0.625
Lemon,7.0,9.0,-2.0,2.0,0.3125,0.4375,0.7777777777777778,0.56,0.6875,-0.2857142857142857,1.2857142857142858,0.2222222222222222
Crape,5.0,1.0,-3.0,3.0,0.3333333333333333,0.8333333333333334,0.625,0.7142857142857143,0.6666666666666666,1.5,-0.5,0.375
Hibiscus,4.0,7.0,-2.0,2.0,0.18181818181818182,0.36363636363636365,0.6666666666666666,0.4705882352941177,0.8181818181818182,-0.4,1.4,0.3333333333333333
Average,6.33,3.67,-3.67,3.67,-0.02,0.71,0.63,0.62,1.02,,,0.37
